"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SmokeTesting","","Create new User By XML","0","1","0","0","0"
"","","","0","0","9","0","0"
"Смоук тестирование","New Test by Data Provider","logIn by Data Provider","0","4","1","0","0"
"Смоук тестирование","Регистрация2","Регистрация нового пользователя2","0","0","1","0","0"
"Fuctionality Testing","","","0","0","2","0","0"
"SmokeTesting","","Create new User","0","1","0","1","0"
"Смоук тестирование","Регистрация","Регистрация нового пользователя","0","1","4","0","0"
"Смоук тестирование","","","0","0","2","0","0"
"Restfull testing","","","0","0","1","0","0"
"Смоук тестирование","Регистрация с параметрами","Регистрация нового c параметрами","0","0","1","0","0"
