"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 14 13:42:02 EEST 2020","Tue Jul 14 13:42:16 EEST 2020","13119","ParametersSuite","Test","com.Orange.Education.ParametersExampleXML","com.Orange.Education.ParametersExampleXML","AddNewUserByParametersInXml","AddNewUserByParametersInXml","Create new User by Testng.xml"
"passed","Tue Jul 14 13:46:17 EEST 2020","Tue Jul 14 13:46:17 EEST 2020","2","HttpSuite","RestAssuredTest","com.Orange.Education.RestAssuredTest.ApiTestRestAssure","com.Orange.Education.RestAssuredTest.ApiTestRestAssure","TestPatch","TestPatch",""
"broken","Tue Jul 14 13:43:09 EEST 2020","Tue Jul 14 13:43:21 EEST 2020","11847","SuiteDataProvider","TestDataProvider","com.Orange.Education.DataProviderExample","com.Orange.Education.DataProviderExample","LogInByDataProvider","LogInByDataProvider","DataProvider Test"
"passed","Tue Jul 14 13:41:53 EEST 2020","Tue Jul 14 13:41:58 EEST 2020","5115","ParametersSuite","Test","com.Orange.Education.ParametersExampleXML","com.Orange.Education.ParametersExampleXML","logIn","logIn","Verify Sign In fucntionality"
"passed","Tue Jul 14 13:46:17 EEST 2020","Tue Jul 14 13:46:18 EEST 2020","544","HttpSuite","RestAssuredTest","com.Orange.Education.RestAssuredTest.ApiTestRestAssure","com.Orange.Education.RestAssuredTest.ApiTestRestAssure","TestPostRequest","TestPostRequest",""
"passed","Tue Jul 14 13:42:29 EEST 2020","Tue Jul 14 13:42:31 EEST 2020","2101","SuiteSmartCode","Test","com.Orange.Education.ZeroEffortAutomation.SmartCode","com.Orange.Education.ZeroEffortAutomation.SmartCode","GetFieldAttributes","GetFieldAttributes","Smart Code"
"broken","Tue Jul 14 13:41:33 EEST 2020","Tue Jul 14 13:41:46 EEST 2020","12883","SuiteAdmin","Adminpagetest","com.Orange.Education.AdminPageTest","com.Orange.Education.AdminPageTest","AddNewUser","AddNewUser","Create new User by Admin"
"passed","Tue Jul 14 13:41:18 EEST 2020","Tue Jul 14 13:41:20 EEST 2020","2586","SuiteLogIN","TestCaseLoginPage","com.Orange.Education.TestTask","com.Orange.Education.TestTask","JSExecutorTest","JSExecutorTest",""
"broken","Tue Jul 14 13:41:02 EEST 2020","Tue Jul 14 13:41:02 EEST 2020","1","SuiteGrid","GridIE","com.Orange.Education.GridExamples.StandAloneExample","com.Orange.Education.GridExamples.StandAloneExample","JSExecutorTest","JSExecutorTest","Verify Sign In fucntionality"
"broken","Tue Jul 14 13:42:56 EEST 2020","Tue Jul 14 13:43:08 EEST 2020","12262","SuiteDataProvider","TestDataProvider","com.Orange.Education.DataProviderExample","com.Orange.Education.DataProviderExample","LogInByDataProvider","LogInByDataProvider","DataProvider Test"
"passed","Tue Jul 14 13:46:12 EEST 2020","Tue Jul 14 13:46:12 EEST 2020","2","HttpSuite","HttpRequest","com.Orange.Education.API.httpsEducation","com.Orange.Education.API.httpsEducation","CheckTextByHttpGetRequest","CheckTextByHttpGetRequest","Search Text by Http Request"
"broken","Tue Jul 14 13:43:27 EEST 2020","Tue Jul 14 13:43:38 EEST 2020","11825","SuiteDataProvider","TestDataProvider","com.Orange.Education.DataProviderExample","com.Orange.Education.DataProviderExample","LogInByDataProvider","LogInByDataProvider","DataProvider Test"
